v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2138.71771	0.23388679823328334	2138.71771	0.33393999225162196	2098.858	0.0	2098.858	0.0
2138.74784	0.222141516944907	2138.74784	0.3182941279311363	2098.906	0.0	2098.906	0.0
2138.77798	0.21045623556317244	2138.77798	0.30267826332378694	2098.954	0.0	2098.954	0.0
2138.80811	0.19895095427479612	2138.80811	0.2872223990033013	2099.002	0.0	2099.002	0.0
2138.83825	0.18773067289306153	2138.83825	0.27204153439595197	2099.05	0.0	2099.05	0.0
2138.86838	0.1768703916046852	2138.86838	0.2572406700754663	2099.098	0.0	2099.098	0.0
2138.89851	0.16642511031630888	2138.89851	0.24290480575498066	2099.146	0.0	2099.146	0.0
2138.92865	0.1564298289345743	2138.92865	0.2291089411476313	2099.194	0.0	2099.194	0.0
2138.95878	0.14690454764619798	2138.95878	0.21589807682714568	2099.242	0.0	2099.242	0.0
2138.98892	0.13788426626446343	2138.98892	0.20331721221979632	2099.29	0.0	2099.29	0.0
2139.01905	0.12938398497608708	2139.01905	0.19138134789931066	2099.338	0.0	2099.338	0.0
2139.04918	0.12143370368771074	2139.04918	0.180115483578825	2099.386	0.0	2099.386	0.0
2139.07932	0.11403342230597618	2139.07932	0.16952461897147564	2099.434	0.0	2099.434	0.0
2139.10945	0.10717814101759984	2139.10945	0.15960375465099	2099.482	0.0	2099.482	0.0
2139.13958	0.1008378597292235	2139.13958	0.15033289033050437	2099.53	0.0	2099.53	0.0
2139.16972	0.09496257834748895	2139.16972	0.14168202572315503	2099.578	0.0	2099.578	0.0
2139.19985	0.08949729705911261	2139.19985	0.13360116140266937	2099.626	0.0	2099.626	0.0
2139.22999	0.08439201567737804	2139.22999	0.12605029679531998	2099.674	0.0	2099.674	0.0
2139.26012	0.07961673438900171	2139.26012	0.11897443247483436	2099.722	0.0	2099.722	0.0
2139.29025	0.07515645310062538	2139.29025	0.11234356815434873	2099.77	0.0	2099.77	0.0
2139.32039	0.07100117171889081	2139.32039	0.10613270354699937	2099.818	0.0	2099.818	0.0
2139.35052	0.06716089043051447	2139.35052	0.10032183922651372	2099.866	0.0	2099.866	0.0
2139.38065	0.06361560914213814	2139.38065	0.09490097490602808	2099.914	0.0	2099.914	0.0
