v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2134.04697	0.0008454034397508206	2134.04697	0.0017189788518557764	2127.99	1.7456526656422124e-12	2127.99	2.2459844193163497e-12
2134.0771	0.0008501221513744911	2134.0771	0.0017431145313701463	2128.01	7.10757407444561e-12	2128.01	9.177015984202226e-12
2134.10724	0.0008598407696399218	2134.10724	0.0017772499240207712	2128.03	2.7471014480756083e-11	2128.03	3.560469303365932e-11
2134.13737	0.0008895594812635826	2134.13737	0.0018213856035351333	2128.05	1.0083823756698344e-10	2128.05	1.3123082355883998e-10
2134.1675	0.0009242781928872554	2134.1675	0.0018805212830495105	2128.07	3.5172884997675357e-10	2128.07	4.597526073433458e-10
2134.19764	0.0009689968111526864	2134.19764	0.00195465667570012	2128.09	1.1665037122036268e-9	2128.09	1.5319124078041084e-9
2134.22777	0.0010087155227763503	2134.22777	0.002023792355214493	2128.11	3.6808700421054494e-9	2128.11	4.857911693890918e-9
2134.25791	0.0010384341410417872	2134.25791	0.0020879277478651204	2128.13	1.1059030769464148e-8	2128.13	1.4671511984785036e-8
2134.28804	0.0010531528526654538	2134.28804	0.0021420634273794925	2128.15	3.166081897460985e-8	2128.15	4.223049448464843e-8
2134.31817	0.0010578715642891173	2134.31817	0.0021811991068938635	2128.17	8.64399754211239e-8	2128.17	1.1593752728237796e-7
2134.34831	0.001057590182554552	2134.34831	0.0022203344995444796	2128.19	2.2524005923338362e-7	2128.19	3.0379591977817507e-7
2134.37844	0.0010673088941782205	2134.37844	0.0022544701790588456	2128.21	5.606031068823716e-7	2128.21	7.603146426911216e-7
2134.40857	0.0010920276058018832	2134.40857	0.0022936058585732166	2128.23	1.3337039702257604e-6	2128.23	1.8185205908360264e-6
2134.43871	0.0011317462240673162	2134.43871	0.0023427412512238427	2128.25	3.0348214957198923e-6	2128.25	4.158821892391704e-6
2134.46884	0.0011864649356909882	2134.46884	0.002406876930738211	2128.27	6.608463930229447e-6	2128.27	9.09719442288411e-6
2134.49898	0.0012461835539564134	2134.49898	0.0024810123233888343	2128.29	1.377608295913445e-5	2128.29	1.9038224048563705e-5
2134.52911	0.0013109022655800814	2134.52911	0.0025701480029031998	2128.31	2.749867436176313e-5	2128.31	3.8120966440832216e-5
2134.55924	0.0013756209772037564	2134.55924	0.0026692836824175753	2128.33	5.256618989900578e-5	2128.33	7.303056358656755e-5
2134.58938	0.0014403395954691867	2134.58938	0.002783419075068197	2128.35	9.62315857043882e-5	2128.35	0.0001338433588256804
2134.61951	0.0015050583070928478	2134.61951	0.0029075547545825697	2128.37	0.0001687079121944966	2128.37	0.00023462488843180394
2134.64965	0.001574776925358283	2134.64965	0.0030416901472331836	2128.39	0.00028324549564067624	2128.39	0.00039335427932052244
2134.67978	0.0016494956369819472	2134.67978	0.0031758258267475525	2128.41	0.00045546264667371264	2128.41	0.0006306980905138007
2134.70991	0.0017192143486056133	2134.70991	0.0032999615062619253	2128.43	0.0007016951071992332	2128.43	0.0009673192344445292
2134.74005	0.0017889329668710485	2134.74005	0.003414096898912547	2128.45	0.0010364104780386187	2128.45	0.0014198592907645694
2134.77018	0.0018586516784947146	2134.77018	0.0035182325784269136	2128.47	0.0014691740936083656	2128.47	0.0019964193180704946
2134.80031	0.0019233703901183827	2134.80031	0.0036173682579412753	2128.49	0.0020020968775858006	2128.49	0.0026930352779847835
2134.83045	0.001993089008383818	2134.83045	0.0037215036505919147	2128.51	0.0026288906850870947	2128.51	0.00349290237425872
2134.86058	0.002067807720007482	2134.86058	0.0038356393301062636	2128.53	0.0033363724867911284	2128.53	0.00436959328089184
2134.89072	0.0021575263382729096	2134.89072	0.003974774722756896	2128.55	0.004108457446110784	2128.55	0.005294189274285069
