# Wavenumber / cm-1 	 Absorbance / OD
1.944893820000000460e+03	7.624254625829759990e-04
1.944923950000000332e+03	7.965501022254503627e-04
1.944954090000000406e+03	8.256744513400957053e-04
1.944984220000000278e+03	8.447990909825689454e-04
1.945014350000000377e+03	8.489237306250410620e-04
1.945044490000000451e+03	8.330480797396830339e-04
1.945074620000000323e+03	8.121727193821579038e-04
1.945104760000000397e+03	7.862970684968037527e-04
1.945134890000000269e+03	7.704217081392766842e-04
1.945165020000000368e+03	7.595463477817546161e-04
1.945195160000000442e+03	7.636706968963888342e-04
1.945225290000000314e+03	7.727953365388659512e-04
1.945255420000000413e+03	7.869199761813411298e-04
1.945285560000000260e+03	8.010443252959853488e-04
1.945315690000000359e+03	8.151689649384605274e-04
1.945345830000000433e+03	8.192933140530947456e-04
1.945375960000000305e+03	8.234179536955807399e-04
1.945406090000000404e+03	8.225425933380478560e-04
1.945436230000000251e+03	8.216669424526978904e-04
1.945466360000000350e+03	8.157915820951669450e-04
1.945496500000000424e+03	8.099159312098050401e-04
1.945526630000000296e+03	7.940405708522849104e-04
1.945556760000000395e+03	7.681652104947547799e-04
1.945586900000000469e+03	7.472895596093986903e-04
1.945617030000000341e+03	7.264141992518666213e-04
1.945647160000000440e+03	7.155388388943445532e-04
1.945677300000000287e+03	7.196631880089926492e-04
1.945707430000000386e+03	7.387878276514589504e-04
1.945737570000000460e+03	7.679121767661042930e-04
1.945767700000000332e+03	8.020368164085786566e-04
1.945797830000000431e+03	8.261614560510499583e-04
1.945827970000000278e+03	8.352858051657030547e-04
1.945858100000000377e+03	8.244104448081671088e-04
1.945888230000000249e+03	8.085350844506539181e-04
1.945918370000000323e+03	7.826594335652858891e-04
1.945948500000000422e+03	7.667840732077588206e-04
1.945978640000000269e+03	7.709084223224069166e-04
1.946008770000000368e+03	7.850330619648751562e-04
1.946038900000000467e+03	8.091577016073533968e-04
1.946069040000000314e+03	8.382820507219918005e-04
1.946099170000000413e+03	8.524066903644669790e-04
1.946129310000000260e+03	8.565310394791150750e-04
1.946159440000000359e+03	8.456556791215860680e-04
1.946189570000000458e+03	8.247803187640609379e-04
1.946219710000000305e+03	8.139046678787009714e-04
1.946249840000000404e+03	8.130293075211750264e-04
1.946279970000000276e+03	8.321539471636482665e-04
1.946310110000000350e+03	8.612782962782936091e-04
1.946340240000000449e+03	8.854029359207649108e-04
1.946370380000000296e+03	9.045272850354141303e-04
1.946400510000000395e+03	8.986519246778831849e-04
1.946430640000000267e+03	8.777765643203580548e-04
1.946460780000000341e+03	8.469009134350058421e-04
1.946490910000000440e+03	8.210255530774687727e-04
1.946521040000000312e+03	8.051501927199486430e-04
1.946551180000000386e+03	8.092745418345898001e-04
1.946581310000000258e+03	8.333991814770680406e-04
1.946611450000000332e+03	8.625235305917133832e-04
1.946641580000000431e+03	8.816481702341796844e-04
1.946671710000000303e+03	8.907728098766568015e-04
1.946701850000000377e+03	8.798971589912968350e-04
1.946731980000000249e+03	8.540217986337736433e-04
1.946762120000000323e+03	8.281461477484194922e-04
1.946792250000000422e+03	8.122707873908854848e-04
1.946822380000000294e+03	8.113954270333664787e-04
1.946852520000000368e+03	8.255197761480037588e-04
1.946882650000000467e+03	8.446444157904769989e-04
1.946912780000000339e+03	8.537690554329541159e-04
1.946942920000000413e+03	8.428934045475941494e-04
1.946973050000000285e+03	8.170180441900778967e-04
1.947003190000000359e+03	7.761423933047156831e-04
1.947033320000000458e+03	7.402670329471894295e-04
1.947063450000000330e+03	7.193916725896573605e-04
1.947093590000000404e+03	7.285160217043035180e-04
1.947123720000000276e+03	7.626406613467848206e-04
1.947153860000000350e+03	8.067650104614174089e-04
1.947183990000000449e+03	8.458896501038967730e-04
1.947214120000000321e+03	8.650142897463700131e-04
1.947244260000000395e+03	8.491386388610119851e-04
1.947274390000000267e+03	8.182632785034837930e-04
1.947304520000000366e+03	7.773879181459594778e-04
