# Wavenumber / cm-1 	 Absorbance / OD
1.946942920000000413e+03	2.445378142406084976e-04
1.946973050000000285e+03	2.292530835646677811e-04
1.947003190000000359e+03	2.239682583879964994e-04
1.947033320000000458e+03	2.236835277120569065e-04
1.947063450000000330e+03	2.383987970361184372e-04
1.947093590000000404e+03	2.631139718594632804e-04
1.947123720000000276e+03	2.928292411835120568e-04
1.947153860000000350e+03	3.225444160068480226e-04
1.947183990000000449e+03	3.372596853309234310e-04
1.947214120000000321e+03	3.269749546549738373e-04
1.947244260000000395e+03	2.966901294783191867e-04
1.947274390000000267e+03	2.564053988023812236e-04
1.947304520000000366e+03	2.161206681264293827e-04
1.947334660000000440e+03	1.908358429497797326e-04
1.947364790000000312e+03	1.905511122738401397e-04
1.947394930000000386e+03	2.102662870971661047e-04
1.947425060000000258e+03	2.449815564212337593e-04
1.947455190000000357e+03	2.696968257452914131e-04
1.947485330000000431e+03	2.794120005686212549e-04
1.947515460000000303e+03	2.641272698926805385e-04
1.947545590000000402e+03	2.338425392167386985e-04
1.947575730000000249e+03	1.985577140400790475e-04
1.947605860000000348e+03	1.632729833641322070e-04
1.947636000000000422e+03	1.529881581874698027e-04
1.947666130000000294e+03	1.527034275115302098e-04
1.947696260000000393e+03	1.724186968355967409e-04
1.947726400000000467e+03	1.921338716589227058e-04
1.947756530000000339e+03	2.018491409829792360e-04
1.947786670000000413e+03	2.065643158063179552e-04
1.947816800000000285e+03	2.012795851303872396e-04
1.947846930000000384e+03	1.909948544544376459e-04
1.947877070000000458e+03	1.857100292777802419e-04
1.947907200000000330e+03	1.854252986018545268e-04
1.947937330000000429e+03	1.901405679258921788e-04
1.947967470000000276e+03	2.048557427492408989e-04
1.947997600000000375e+03	2.145710120732974291e-04
1.948027740000000449e+03	2.192861868966361483e-04
1.948057870000000321e+03	2.240014562207015558e-04
1.948088000000000420e+03	2.237167255447619629e-04
1.948118140000000267e+03	2.234319003680956817e-04
1.948148270000000366e+03	2.281471696921472114e-04
1.948178400000000465e+03	2.278624390162076185e-04
1.948208540000000312e+03	2.375776138395513382e-04
1.948238670000000411e+03	2.472928831636078684e-04
1.948268810000000258e+03	2.570080579869377102e-04
1.948298940000000357e+03	2.717233273109992409e-04
1.948329070000000456e+03	2.864385966350607715e-04
1.948359210000000303e+03	3.011537714583956138e-04
1.948389340000000402e+03	3.108690407824521440e-04
1.948419480000000249e+03	3.105842156057858627e-04
1.948449610000000348e+03	3.002994849298501467e-04
1.948479740000000447e+03	2.800147542539044299e-04
1.948509880000000294e+03	2.547299290772409019e-04
1.948540010000000393e+03	2.344451984013229406e-04
1.948570140000000265e+03	2.241604677253594691e-04
1.948600280000000339e+03	2.338756425487031887e-04
1.948630410000000438e+03	2.585909118727747202e-04
1.948660550000000285e+03	2.883060866961106861e-04
1.948690680000000384e+03	3.230213560201644629e-04
1.948720810000000256e+03	3.377366253442259936e-04
1.948750950000000330e+03	3.424518001675647128e-04
1.948781080000000429e+03	3.221670694916189959e-04
1.948811220000000276e+03	2.968822443149554680e-04
1.948841350000000375e+03	2.715975136390186284e-04
1.948871480000000247e+03	2.563127829630779120e-04
1.948901620000000321e+03	2.560279577864116307e-04
1.948931750000000420e+03	2.757432271104642840e-04
1.948961880000000292e+03	3.004584964345358156e-04
1.948992020000000366e+03	3.201736712578617805e-04
1.949022150000000465e+03	3.248889405819271881e-04
1.949052290000000312e+03	3.146041154052509059e-04
1.949082420000000411e+03	2.893193847293140664e-04
1.949112550000000283e+03	2.590346540533722264e-04
1.949142690000000357e+03	2.387498288767136989e-04
1.949172820000000456e+03	2.334650982007691056e-04
1.949202950000000328e+03	2.431803675248256358e-04
1.949233090000000402e+03	2.728955423481616016e-04
1.949263220000000274e+03	2.976108116722470109e-04
1.949293360000000348e+03	3.123259864955679754e-04
1.949323490000000447e+03	3.070412558196233821e-04
1.949353620000000319e+03	2.817565251437004203e-04
1.949383760000000393e+03	2.414716999670218911e-04
1.949413890000000265e+03	2.011869692910839280e-04
1.949444030000000339e+03	1.709021441144292774e-04
1.949474160000000438e+03	1.656174134384846841e-04
1.949504290000000310e+03	1.753326827625412143e-04
1.949534430000000384e+03	2.000478575858721797e-04
1.949564560000000256e+03	2.247631269099437112e-04
1.949594690000000355e+03	2.494783962340013650e-04
1.949624830000000429e+03	2.591935710573312068e-04
1.949654960000000301e+03	2.589088403813916139e-04
1.949685100000000375e+03	2.536240152047203322e-04
1.949715230000000247e+03	2.433392845287846162e-04
1.949745360000000346e+03	2.430545538528450233e-04
1.949775500000000420e+03	2.427697286761787421e-04
1.949805630000000292e+03	2.424849980002391492e-04
1.949835770000000366e+03	2.422001728235867457e-04
1.949865900000000465e+03	2.269154421476321515e-04
